value,date
10080,2017-06-17
8787,2017-06-16
10140,2017-06-15
8688,2017-06-14
7834,2017-06-13
21337,2017-06-12
11075,2017-06-11
9792,2017-06-10
6103,2017-06-09
9961,2017-06-08
8124,2017-06-07
9156,2017-06-06
8872,2017-06-05
9777,2017-06-04
1861,2017-06-03
10971,2017-06-02
17260,2017-06-01
4936,2017-05-31
12025,2017-05-30
9063,2017-05-29
2190,2017-05-28
6097,2017-05-27
13464,2017-05-26
18694,2017-05-25
6009,2017-05-24
7174,2017-05-23
823,2017-05-22
13014,2017-05-21
8719,2017-05-20
21135,2017-05-19
5626,2017-05-18
9234,2017-05-17
7366,2017-05-16
25801,2017-05-15
15940,2017-05-14
13605,2017-05-13
3333,2017-05-12
566,2017-05-11
2900,2017-05-10
3027,2017-05-09
5195,2017-05-08
5871,2017-05-07
8371,2017-05-06
11393,2017-05-05
1703,2017-05-04
10153,2017-05-03
1811,2017-05-02
9477,2017-05-01
7510,2017-04-30
14167,2017-04-29
10825,2017-04-28
1799,2017-04-27
12499,2017-04-26
8390,2017-04-25
12895,2017-04-24
4533,2017-04-23
5669,2017-04-22
1321,2017-04-21
4382,2017-04-20
12638,2017-04-19
3658,2017-04-18
4694,2017-04-17
8590,2017-04-16
8330,2017-04-15
11237,2017-04-14
6354,2017-04-13
10881,2017-04-12
10995,2017-04-11
14847,2017-04-10
10579,2017-04-09
5110,2017-04-08
9689,2017-04-07
2717,2017-04-06
11301,2017-04-05
4308,2017-04-04
9495,2017-04-03
6948,2017-04-02
3608,2017-04-01
10932,2017-03-31
5586,2017-03-30
12727,2017-03-29
1469,2017-03-28
9189,2017-03-27
646,2017-03-26
7205,2017-03-25
6104,2017-03-24
2330,2017-03-23
12384,2017-03-22
3047,2017-03-21
4859,2017-03-20
4554,2017-03-19
1402,2017-03-18
3219,2017-03-17
655,2017-03-16
2551,2017-03-15
3828,2017-03-14
206,2017-03-13
2163,2017-03-12
1434,2017-03-11
2007,2017-03-10
5587,2017-03-09
7715,2017-03-08
1695,2017-03-07
8229,2017-03-06
3429,2017-03-05
14353,2017-03-04
13157,2017-03-03
11654,2017-03-02
13666,2017-03-01
5371,2017-02-28
10077,2017-02-27
13547,2017-02-26
1582,2017-02-25
5919,2017-02-24
8453,2017-02-23
13448,2017-02-22
8055,2017-02-21
13269,2017-02-20
11695,2017-02-19
14745,2017-02-18
8968,2017-02-17
17023,2017-02-16
10866,2017-02-15
9490,2017-02-14
10916,2017-02-13
3261,2017-02-12
17088,2017-02-11
9107,2017-02-10
13137,2017-02-09
15725,2017-02-08
10492,2017-02-07
13803,2017-02-06
9724,2017-02-05
2373,2017-02-04
13788,2017-02-03
12048,2017-02-02
13657,2017-02-01
7495,2017-01-31
14414,2017-01-30
4643,2017-01-29
13699,2017-01-28
7834,2017-01-27
7814,2017-01-26
7799,2017-01-25
6534,2017-01-24
10015,2017-01-23
1591,2017-01-22
6681,2017-01-21
7821,2017-01-20
7860,2017-01-19
10104,2017-01-18
8854,2017-01-17
7279,2017-01-16
4129,2017-01-15
1986,2017-01-14
9812,2017-01-13
8177,2017-01-12
15442,2017-01-11
6721,2017-01-10
12820,2017-01-09
2918,2017-01-08
6776,2017-01-07
2911,2017-01-06
3307,2017-01-05
4627,2017-01-04
3330,2017-01-03
2653,2017-01-02
2520,2017-01-01
59,2016-12-31
781,2016-12-30
1607,2016-12-29
1093,2016-12-28
3975,2016-12-27
2492,2016-12-26
3649,2016-12-25
2111,2016-12-24
3694,2016-12-23
5627,2016-12-22
299,2016-12-21
3136,2016-12-20
3162,2016-12-19
906,2016-12-18
1184,2016-12-17
486,2016-12-16
12355,2016-12-15
4606,2016-12-14
8592,2016-12-13
17341,2016-12-12
10722,2016-12-11
11426,2016-12-10
7776,2016-12-09
16212,2016-12-08
13087,2016-12-07
10736,2016-12-06
12119,2016-12-05
2146,2016-12-04
1589,2016-12-03
8058,2016-12-02
8786,2016-12-01
10204,2016-11-30
11970,2016-11-29
8357,2016-11-28
9055,2016-11-27
310,2016-11-25
3853,2016-11-24
1295,2016-11-23
3876,2016-11-22
4580,2016-11-21
1958,2016-11-20
93147,2016-11-19
12710,2016-11-09
6852,2016-11-08
7182,2016-11-07
9989,2016-11-06
4069,2016-11-05
13705,2016-11-04
16626,2016-11-03
4194,2016-11-02
10607,2016-11-01
17393,2016-10-31
4081,2016-10-30
12694,2016-10-29
9162,2016-10-28
7197,2016-10-27
10510,2016-10-26
6183,2016-10-25
7072,2016-10-24
7958,2016-10-23
4339,2016-10-22
8602,2016-10-21
11470,2016-10-20
10705,2016-10-19
7368,2016-10-18
3792,2016-10-17
8538,2016-10-16
1883,2016-10-15
10916,2016-10-14
11550,2016-10-13
6378,2016-10-12
7111,2016-10-11
6348,2016-10-10
10119,2016-10-09
9684,2016-10-08
5215,2016-10-07
8327,2016-10-06
16525,2016-10-05
5766,2016-10-04
8362,2016-10-03
5860,2016-10-02
2549,2016-10-01
